"No.","Time","Source","Destination","Protocol","Length","Frame length on the wire","Info"
"119","10.026628","10.0.1.100","10.0.0.100","TCP","66","66","50518  >  9092 [ACK] Seq=389 Ack=86942 Win=149504 Len=0 TSval=2897378900 TSecr=690303869"
"120","10.038730","10.0.0.100","10.0.1.100","TCP","1514","1514","9092  >  50518 [PSH, ACK] Seq=86942 Ack=389 Win=43520 Len=1448 TSval=690303893 TSecr=2897378512 [TCP segment of a reassembled PDU]"
"121","10.050816","10.0.0.100","10.0.1.100","TCP","1514","1514","9092  >  50518 [ACK] Seq=88390 Ack=389 Win=43520 Len=1448 TSval=690303893 TSecr=2897378512 [TCP segment of a reassembled PDU]"
"122","10.050828","10.0.1.100","10.0.0.100","TCP","66","66","50518  >  9092 [ACK] Seq=389 Ack=89838 Win=155648 Len=0 TSval=2897378924 TSecr=690303893"
"123","10.062914","10.0.0.100","10.0.1.100","TCP","1514","1514","9092  >  50518 [ACK] Seq=89838 Ack=389 Win=43520 Len=1448 TSval=690303893 TSecr=2897378512 [TCP segment of a reassembled PDU]"
"124","10.075033","10.0.0.100","10.0.1.100","TCP","1514","1514","9092  >  50518 [PSH, ACK] Seq=91286 Ack=389 Win=43520 Len=1448 TSval=690303893 TSecr=2897378512 [TCP segment of a reassembled PDU]"
"125","10.075038","10.0.1.100","10.0.0.100","TCP","66","66","50518  >  9092 [ACK] Seq=389 Ack=92734 Win=161280 Len=0 TSval=2897378948 TSecr=690303893"
"126","10.087138","10.0.0.100","10.0.1.100","TCP","1514","1514","9092  >  50518 [ACK] Seq=92734 Ack=389 Win=43520 Len=1448 TSval=690303918 TSecr=2897378537 [TCP segment of a reassembled PDU]"
"127","10.099250","10.0.0.100","10.0.1.100","TCP","1514","1514","9092  >  50518 [ACK] Seq=94182 Ack=389 Win=43520 Len=1448 TSval=690303918 TSecr=2897378537 [TCP segment of a reassembled PDU]"
"128","10.099256","10.0.1.100","10.0.0.100","TCP","66","66","50518  >  9092 [ACK] Seq=389 Ack=95630 Win=166912 Len=0 TSval=2897378973 TSecr=690303918"
"129","10.111362","10.0.0.100","10.0.1.100","TCP","1514","1514","9092  >  50518 [ACK] Seq=95630 Ack=389 Win=43520 Len=1448 TSval=690303918 TSecr=2897378537 [TCP segment of a reassembled PDU]"
"130","10.123475","10.0.0.100","10.0.1.100","TCP","1514","1514","9092  >  50518 [ACK] Seq=97078 Ack=389 Win=43520 Len=1448 TSval=690303918 TSecr=2897378537 [TCP segment of a reassembled PDU]"
"131","10.123480","10.0.1.100","10.0.0.100","TCP","66","66","50518  >  9092 [ACK] Seq=389 Ack=98526 Win=173056 Len=0 TSval=2897378997 TSecr=690303918"
"132","10.135586","10.0.0.100","10.0.1.100","TCP","1514","1514","9092  >  50518 [ACK] Seq=98526 Ack=389 Win=43520 Len=1448 TSval=690303942 TSecr=2897378561 [TCP segment of a reassembled PDU]"
"133","10.147696","10.0.0.100","10.0.1.100","TCP","1514","1514","9092  >  50518 [ACK] Seq=99974 Ack=389 Win=43520 Len=1448 TSval=690303942 TSecr=2897378561 [TCP segment of a reassembled PDU]"
"134","10.147701","10.0.1.100","10.0.0.100","TCP","66","66","50518  >  9092 [ACK] Seq=389 Ack=101422 Win=174080 Len=0 TSval=2897379021 TSecr=690303942"
"135","10.159810","10.0.0.100","10.0.1.100","TCP","1514","1514","9092  >  50518 [ACK] Seq=101422 Ack=389 Win=43520 Len=1448 TSval=690303942 TSecr=2897378561 [TCP segment of a reassembled PDU]"
"136","10.171922","10.0.0.100","10.0.1.100","TCP","1514","1514","9092  >  50518 [ACK] Seq=102870 Ack=389 Win=43520 Len=1448 TSval=690303942 TSecr=2897378561 [TCP segment of a reassembled PDU]"
"137","10.171928","10.0.1.100","10.0.0.100","TCP","66","66","50518  >  9092 [ACK] Seq=389 Ack=104318 Win=174080 Len=0 TSval=2897379045 TSecr=690303942"
"138","10.184034","10.0.0.100","10.0.1.100","TCP","1514","1514","9092  >  50518 [ACK] Seq=104318 Ack=389 Win=43520 Len=1448 TSval=690303966 TSecr=2897378585 [TCP segment of a reassembled PDU]"
"139","10.196146","10.0.0.100","10.0.1.100","TCP","1514","1514","9092  >  50518 [ACK] Seq=105766 Ack=389 Win=43520 Len=1448 TSval=690303966 TSecr=2897378585 [TCP segment of a reassembled PDU]"
"140","10.196151","10.0.1.100","10.0.0.100","TCP","66","66","50518  >  9092 [ACK] Seq=389 Ack=107214 Win=174080 Len=0 TSval=2897379069 TSecr=690303966"
"141","10.208258","10.0.0.100","10.0.1.100","TCP","1514","1514","9092  >  50518 [ACK] Seq=107214 Ack=389 Win=43520 Len=1448 TSval=690303966 TSecr=2897378585 [TCP segment of a reassembled PDU]"
