No.,Time,Source,Destination,Protocol,Length,Frame length on the wire,Info
24599,2.573177,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,Application Data
24724,2.574688,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,Application Data
24850,2.57624,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,Application Data
24975,2.578188,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,Application Data
25100,2.57968,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,Application Data
25225,2.583585,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,Application Data
25351,2.585089,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,Application Data
25471,2.586347,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,Application Data
25584,2.588108,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,Application Data
25698,2.590055,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,Application Data
25824,2.597399,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,Application Data
25970,2.611796,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,Application Data
26110,2.613184,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,Application Data
26252,2.615096,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,Application Data
26389,2.616475,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,Application Data
26527,2.617911,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,Application Data
26671,2.619456,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,Application Data
26813,2.620966,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,Application Data
26911,2.646425,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,Application Data
27026,2.647832,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,Application Data
27139,2.649231,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,Application Data
27253,2.651987,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,Application Data
27368,2.653508,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,Application Data
27489,2.657251,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,Application Data
27629,2.677036,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,Application Data
27742,2.678645,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,Application Data
27860,2.679921,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,Application Data
27987,2.681428,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,Application Data
28112,2.684317,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,Application Data
28235,2.685653,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,Application Data
28361,2.687144,193.206.135.76,172.17.0.10,TLSv1.3,250,250,Application Data
28480,2.688365,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,Application Data
28597,2.689864,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,Application Data
28721,2.691358,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,Application Data
28846,2.692624,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,Application Data
28971,2.694186,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,Application Data
29096,2.695676,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,Application Data
